fecha_hora,temperatura,humedad,presion
2025-03-21 13:02:24.717280,20.2,73.7,1013.25
2025-03-21 13:02:35.143259,20.3,73.8,1013.25
2025-03-21 13:02:45.443401,20.3,73.8,1013.25
2025-03-21 13:02:55.746444,20.3,73.7,1013.25
2025-03-21 13:03:06.034845,20.3,73.6,1013.25
2025-03-21 13:03:26.683252,20.3,73.6,1013.25
2025-03-21 13:12:45.360677,20.0,71.5,1013.25
2025-03-21 13:13:16.474969,19.9,71.3,1013.25
2025-03-21 13:13:26.953679,19.9,71.1,1013.25
2025-03-21 13:13:37.243093,20.0,70.9,1013.25
2025-03-21 13:13:47.620205,19.9,70.9,1013.25
2025-03-21 13:13:57.967309,19.9,70.8,1013.25
2025-03-21 13:14:08.311108,19.9,70.8,1013.25
2025-03-21 13:14:18.751379,19.9,70.7,1013.25
2025-03-30 20:00:00.842025,18.7,66.6,1013.25
2025-03-30 20:00:12.542167,18.4,67.1,1013.25
2025-03-30 20:00:22.898189,18.4,66.6,1013.25
2025-03-30 20:00:33.245455,18.4,66.4,1013.25
2025-03-30 20:00:43.594720,18.5,66.3,1013.25
2025-03-30 20:00:53.882956,18.5,66.3,1013.25
2025-03-30 20:01:04.175804,18.5,66.3,1013.25
2025-03-30 20:01:14.506776,18.5,66.3,1013.25
2025-03-30 20:01:24.801268,18.5,66.2,1013.25
2025-03-30 20:01:35.187444,18.5,66.2,1013.25
2025-03-30 20:01:45.501394,18.5,66.1,1013.25
2025-03-30 20:01:55.876202,18.5,66.1,1013.25
2025-03-30 20:02:06.219743,18.5,66.1,1013.25
2025-03-30 20:02:16.513650,18.5,66.1,1013.25
2025-03-30 20:02:26.806894,18.5,66.1,1013.25
2025-03-30 20:02:37.094826,18.5,66.1,1013.25
2025-03-30 20:02:47.483614,18.5,66.1,1013.25
2025-03-30 20:02:57.941582,18.5,66.1,1013.25
2025-03-30 20:03:08.270156,18.5,66.0,1013.25
2025-03-30 20:03:28.837674,21.6,60.1,1013.25
2025-03-30 20:03:39.123985,23.1,56.2,1013.25
2025-03-30 20:03:49.442988,32.9,37.7,1013.25
2025-03-30 20:03:59.783216,33.1,36.3,1013.25
2025-03-30 20:04:20.485645,32.6,38.5,1013.25
2025-03-30 20:04:30.810382,32.0,39.3,1013.25
2025-03-30 20:04:41.163459,31.4,39.8,1013.25
2025-03-30 20:04:51.509161,30.7,40.4,1013.25
2025-03-30 20:05:12.108011,29.6,40.7,1013.25
2025-03-30 20:05:22.420493,33.5,35.4,1013.25
2025-03-30 20:05:33.055520,34.0,34.8,1013.25
2025-03-30 20:05:43.360251,34.6,34.1,1013.25
2025-03-30 20:05:53.764979,34.3,35.7,1013.25
2025-03-30 20:06:04.102552,33.8,36.1,1013.25
2025-03-30 20:06:14.567773,33.2,36.6,1013.25
2025-03-30 20:06:24.887362,32.5,37.2,1013.25
2025-03-30 20:06:35.198083,31.8,37.9,1013.25
2025-03-30 20:06:45.588483,31.0,38.6,1013.25
2025-03-30 20:06:55.917256,30.3,39.4,1013.25
2025-03-30 20:07:16.525222,29.0,40.9,1013.25
2025-03-30 20:07:26.845681,28.4,41.7,1013.25
2025-03-30 20:07:37.401166,27.8,42.6,1013.25
2025-03-30 20:07:48.384851,27.3,43.4,1013.25
2025-03-30 20:07:58.798848,26.8,44.2,1013.25
2025-03-30 20:08:09.141214,26.3,44.9,1013.25
2025-03-30 20:08:19.481956,25.9,45.6,1013.25
2025-03-30 20:08:29.825810,25.4,46.4,1013.25
2025-03-30 20:08:40.284536,25.1,47.1,1013.25
2025-03-30 20:09:11.149190,24.0,49.1,1013.25
2025-03-30 20:09:21.523852,23.7,49.7,1013.25
2025-03-31 18:36:40.924948,25.8,31.2,1013.25
2025-03-31 18:36:51.541522,25.9,31.2,1013.25
2025-03-31 18:37:01.831239,26.0,31.3,1013.25
2025-03-31 18:37:12.138040,26.0,31.3,1013.25
2025-03-31 18:37:22.438802,26.0,31.3,1013.25
2025-03-31 18:37:32.745618,26.0,31.3,1013.25
2025-03-31 18:37:43.047083,26.0,31.3,1013.25
2025-03-31 18:38:03.612692,25.9,31.3,1013.25
